id,简介,小区,户型,面积,关注人数,观看次数,发布时间,房价,单价/平,城区,经纬度
142,和平新城 户型好 不临街 有电梯,和平新城一期 , 2室1厅 , 122.76平米 ,25人关注 , 共16次带看 , 1个月以前发布,1350,单价109971元/平米,东城,"116.432835,39.957774"
143,东城区 永合馨苑 南北通透两居室 诚心出售 只有契税,永合馨苑 , 2室1厅 , 118平米 ,36人关注 , 共4次带看 , 29天以前发布,699,单价59238元/平米,东城,"116.403631,39.869863"
144,安化南里 2室1厅 860万,安化南里 , 2室1厅 , 81.44平米 ,12人关注 , 共1次带看 , 24天以前发布,860,单价105600元/平米,东城,"116.441521,39.895226"
145,中海紫御东北向一居室 高层开发商精装修可观花园,中海紫御公馆 , 1室2厅 , 61.48平米 ,68人关注 , 共3次带看 , 27天以前发布,630,单价102473元/平米,东城,"116.399108,39.876842"
146,东城区 甘水桥小区 精装修 双东向 两居室 ,甘水桥 , 2室1厅 , 58.79平米 ,55人关注 , 共1次带看 , 28天以前发布,568,单价96616元/平米,东城,"116.415072,39.968084"
147,东城区 二环里 左安溪园  4室2厅3卫,左安溪园 , 4室2厅 , 258.1平米 ,61人关注 , 共5次带看 , 2个月以前发布,2300,单价89113元/平米,东城,"116.444673,39.881316"
148,国瑞城西区 2室2厅 1180万,国瑞城西区 , 2室2厅 , 147平米 ,57人关注 , 共23次带看 , 7个月以前发布,1180,单价80273元/平米,东城,"116.425856,39.90406"
149,金鱼池南北通透复式四居 纵览天坛 视野开阔 诚心出售,金鱼池西区 , 4室2厅 , 111.22平米 ,53人关注 , 共4次带看 , 1个月以前发布,910,单价81820元/平米,东城,"116.413838,39.895714"
150,左安浦园 2室1厅 695万,左安浦园 , 2室1厅 , 92.23平米 ,114人关注 , 共25次带看 , 1个月以前发布,695,单价75356元/平米,东城,"116.444673,39.880008"
151,国瑞城正规两居室，户型方正，朝向东,国瑞城中区 , 2室1厅 , 69.96平米 ,107人关注 , 共22次带看 , 1个月以前发布,710,单价101487元/平米,东城,"116.429352,39.904538"
152,幸福家园满五年住房 精装修 对天坛祈年殿 视野开阔,幸福家园三期 , 3室1厅 , 129.13平米 ,57人关注 , 共21次带看 , 2个月以前发布,1420,单价109967元/平米,东城,"116.437705,39.898038"
153,崇文门西大街 视野开阔 2居室，有钥匙,崇文门西大街 , 2室1厅 , 53.46平米 ,8人关注 , 共2次带看 , 16天以前发布,540,单价101011元/平米,东城,"116.420117,39.907532"
154,金世纪嘉园   一居室   精装修  ,金世纪嘉园 , 1室1厅 , 65.6平米 ,21人关注 , 共6次带看 , 21天以前发布,660,单价100610元/平米,东城,"116.4515,39.904606"
155,砖角楼北里 2室1厅 398万,砖角楼北里 , 2室1厅 , 47.16平米 ,39人关注 , 共6次带看 , 18天以前发布,398,单价84394元/平米,东城,"116.43581,39.962757"
156,安定门  三秀涵雅  商品房  全南精装2居室  诚意出售,三秀涵雅 , 2室1厅 , 97.08平米 ,28人关注 , 共10次带看 , 19天以前发布,1030,单价106099元/平米,东城,"116.41305,39.963793"
157,小黄庄 2室1厅 395万,小黄庄 , 2室1厅 , 46.88平米 ,164人关注 , 共9次带看 , 23天以前发布,395,单价84258元/平米,东城,"116.41592,39.969527"
158,藏经馆胡同15号院，简装朝南一居室。,藏经馆胡同15号院 , 1室1厅 , 35.68平米 ,24人关注 , 共6次带看 , 17天以前发布,480,单价134530元/平米,东城,"116.404392,39.948535"
159,东城区 城市亮点 朝西一居室 47.11平米 已改小两居,城市亮点 , 1室1厅 , 47.11平米 ,42人关注 , 共9次带看 , 16天以前发布,420,单价89154元/平米,东城,"116.408381,39.874173"
160,史家小学，商品房满五年家庭名下只有一个房子，大两居,朝阳门南小街 , 2室1厅 , 69.82平米 ,25人关注 , 共6次带看 , 28天以前发布,850,单价121742元/平米,东城,"116.433451,39.923705"
161,东中街 方正三居室 歌剧院家属楼,东中街 , 3室1厅 , 68.81平米 ,26人关注 , 共2次带看 , 13天以前发布,720,单价104636元/平米,东城,"116.443175,39.941889"
162,朝南一居无遮挡   满五年税少   业主诚售,新裕家园 , 1室1厅 , 78.42平米 ,39人关注 , 共4次带看 , 13天以前发布,850,单价108391元/平米,东城,"116.429768,39.898926"
163,海晟国际公寓 1室0厅 539万,海晟国际公寓 , 1室0厅 , 47平米 ,13人关注 , 共3次带看 , 9天以前发布,539,单价114681元/平米,东城,"116.448623,39.945062"
164,青年湖北里 2室1厅 510万,青年湖北里 , 2室1厅 , 50.35平米 ,53人关注 , 共58次带看 , 24天以前发布,510,单价101291元/平米,东城,"116.411359,39.964549"
165,金鱼池精装东西复式 满五年 拎包入住,金鱼池中区 , 4室3厅 , 136.7平米 ,148人关注 , 共61次带看 , 9个月以前发布,960,单价70227元/平米,东城,"116.415431,39.896044"
166,左安漪园  顶层复式 北向可看龙潭湖 南侧正对小区花园,左安漪园 , 5室2厅 , 178.26平米 ,21人关注 , 共3次带看 , 2个月以前发布,2000,单价112196元/平米,东城,"116.4471,39.879796"
167, 全南向复式！13米采光面！270度视野涵盖CBD商务圈！,海晟名苑 , 3室2厅 , 295.56平米 ,32人关注 , 共1次带看 , 1个月以前发布,3600,单价121803元/平米,东城,"116.447783,39.94387"
168,东城区小区 已购公房住宅 满五年 诚心出售,安乐林二条 , 2室1厅 , 57.84平米 ,422人关注 , 共30次带看 , 2个月以前发布,398,单价68811元/平米,东城,"116.41279,39.868416"
169,东城区2005年小区满五年朝南正规一居室楼层好,景泰西里西区 , 1室1厅 , 60.29平米 ,112人关注 , 共24次带看 , 3个月以前发布,440,单价72981元/平米,东城,"116.414356,39.869475"
170,东四十条甲34号院低楼层两居，东南向,东四十条甲34号院 , 2室1厅 , 59.16平米 ,272人关注 , 共28次带看 , 1个月以前发布,550,单价92969元/平米,东城,"116.433198,39.939133"
171,金世纪嘉园 3室1厅 865万,金世纪嘉园 , 3室1厅 , 109.44平米 ,235人关注 , 共60次带看 , 4个月以前发布,865,单价79039元/平米,东城,"116.4515,39.904606"
172,南二环边 东城区永铁苑 业主诚心出售,永铁苑 , 2室1厅 , 74.4平米 ,177人关注 , 共32次带看 , 2个月以前发布,535,单价71909元/平米,东城,"116.400766,39.875202"
173,东单 灯市口赵堂子胡同 中间楼层 精装修一居室 诚售！,赵堂子胡同 , 1室1厅 , 46.79平米 ,114人关注 , 共21次带看 , 1个月以前发布,450,单价96175元/平米,东城,"116.434565,39.919951"
174,南北通透格局，采光充足，配套设施齐全,永定门东街东里 , 2室1厅 , 47.45平米 ,31人关注 , 共0次带看 , 17天以前发布,410,单价86407元/平米,东城,"116.418605,39.879823"
175,元嘉国际公寓 复式两居 出行方便 2003年建成,元嘉国际公寓 , 2室1厅 , 117.2平米 ,102人关注 , 共0次带看 , 3个月以前发布,880,单价75086元/平米,东城,"116.443318,39.942275"
176,无个人所得税 安静楼层 大阳台 独立洗衣房,万国城MOMA , 2室1厅 , 123.6平米 ,27人关注 , 共5次带看 , 2个月以前发布,1350,单价109224元/平米,东城,"116.444857,39.954789"
177,东城 望陶园 西南大两居室 精装 带停车位,望陶园小区 , 2室1厅 , 114.42平米 ,72人关注 , 共14次带看 , 3个月以前发布,700,单价61179元/平米,东城,"116.400737,39.870957"
178,免个税  东西通透  24小时门卫,美惠大厦 , 3室2厅 , 178平米 ,42人关注 , 共18次带看 , 1个月以前发布,1067,单价59944元/平米,东城,"116.444157,39.935985"
179,南北通透大三居 中间楼层采光好 ,西革新里108号院 , 3室1厅 , 118.62平米 ,94人关注 , 共18次带看 , 3个月以前发布,720,单价60699元/平米,东城,"116.402557,39.873785"
180,东四十条  房子是层高高  交通便利,东四十一条 , 3室0厅 , 96.63平米 ,98人关注 , 共22次带看 , 5个月以前发布,910,单价94174元/平米,东城,"116.428599,39.940406"
181,外馆东街  南北通透  户型方正  楼下就是柳荫公园,外馆东街50号院 , 2室1厅 , 56.51平米 ,140人关注 , 共12次带看 , 2个月以前发布,480,单价84941元/平米,东城,"116.408548,39.969374"
182,水上华城  朝东正规两居 格局方正无浪费 免税,水上华城 , 2室2厅 , 110.79平米 ,60人关注 , 共24次带看 , 3个月以前发布,1060,单价95677元/平米,东城,"116.448783,39.894213"
183,水上华城 2室1厅 1060万,水上华城 , 2室1厅 , 113.11平米 ,29人关注 , 共20次带看 , 14天以前发布,1060,单价93715元/平米,东城,"116.448783,39.894213"
184,富贵园三区 1室1厅 610万,富贵园三区 , 1室1厅 , 63.74平米 ,11人关注 , 共0次带看 , 10天以前发布,610,单价95702元/平米,东城,"116.438785,39.900278"
185,公园门口东南带电梯大一居，可改两居室,上龙西里 , 1室1厅 , 52.43平米 ,158人关注 , 共51次带看 , 3个月以前发布,500,单价95366元/平米,东城,"116.412788,39.958761"
186,中海紫御公馆 2室2厅 990万,中海紫御公馆 , 2室2厅 , 90.48平米 ,122人关注 , 共41次带看 , 6个月以前发布,990,单价109417元/平米,东城,"116.399108,39.876842"
187,南水关 3室1厅 838万,南水关 , 3室1厅 , 102.09平米 ,147人关注 , 共33次带看 , 5个月以前发布,838,单价82085元/平米,东城,"116.447436,39.897461"
188,和平新城东南北向两居，带双卫，楼层高视野好,和平新城一期 , 2室1厅 , 126.38平米 ,13人关注 , 共9次带看 , 1个月以前发布,1300,单价102865元/平米,东城,"116.432835,39.957774"
189,东城区永定门 东南向三居室 高楼层 满五年,富莱茵花园 , 3室2厅 , 148.63平米 ,123人关注 , 共6次带看 , 1个月以前发布,836,单价56248元/平米,东城,"116.414452,39.866869"
190,东直门内北小街8号院南北向3居电梯直达,东直门内北小街8号院 , 3室1厅 , 124.74平米 ,65人关注 , 共10次带看 , 3个月以前发布,1400,单价112234元/平米,东城,"116.432388,39.95399"
191,中景濠庭 4室2厅 2000万,中景濠庭 , 4室2厅 , 287.85平米 ,20人关注 , 共6次带看 , 3个月以前发布,2000,单价69481元/平米,东城,"116.405688,39.957686"
192,禄米仓胡同 2室1厅 900万,禄米仓胡同 , 2室1厅 , 73.3平米 ,16人关注 , 共7次带看 , 1个月以前发布,900,单价122784元/平米,东城,"116.433366,39.923111"
193,官书院小区 南北通透 精装两居室 低楼层 诚意出售,官书院 , 2室1厅 , 99.02平米 ,49人关注 , 共3次带看 , 1个月以前发布,1250,单价126238元/平米,东城,"116.416828,39.952781"
194,海运仓小区 1室1厅 598万,海运仓小区 , 1室1厅 , 48.01平米 ,53人关注 , 共20次带看 , 1个月以前发布,598,单价124558元/平米,东城,"116.435055,39.941656"
195,安外东河沿 2室0厅 660万,安外东河沿 , 2室0厅 , 54.57平米 ,29人关注 , 共15次带看 , 1个月以前发布,660,单价120946元/平米,东城,"116.417991,39.956806"
196,满五年公房 培新小学  双卧室朝南 高楼层,广渠门内大街 , 2室1厅 , 64.31平米 ,99人关注 , 共15次带看 , 3个月以前发布,570,单价88634元/平米,东城,"116.448316,39.900192"
197,法华南里南北通透二居室，采光充足，格局方正,法华南里 , 2室1厅 , 67.84平米 ,63人关注 , 共16次带看 , 1个月以前发布,660,单价97288元/平米,东城,"116.434144,39.892211"
198,金鱼池中区 2室1厅 416万,金鱼池中区 , 2室1厅 , 57平米 ,128人关注 , 共17次带看 , 1个月以前发布,416,单价72983元/平米,东城,"116.415431,39.896044"
199,广渠门中学 本家润园三区两居室 面对小区花园 不临街,本家润园三期 , 2室1厅 , 63.09平米 ,29人关注 , 共3次带看 , 27天以前发布,600,单价95103元/平米,东城,"116.44366,39.903303"
200,鼎盛园 2室1厅 590万,鼎盛园 , 2室1厅 , 81.91平米 ,25人关注 , 共4次带看 , 19天以前发布,590,单价72031元/平米,东城,"116.415784,39.870977"
201,民主北街22号院 2室1厅 450万,民主北街22号院 , 2室1厅 , 51.01平米 ,22人关注 , 共3次带看 , 18天以前发布,450,单价88218元/平米,东城,"116.40952,39.874629"
202,中海紫御公馆 开发商精装南向两居室 ,中海紫御公馆 , 2室2厅 , 91.1平米 ,157人关注 , 共118次带看 , 6个月以前发布,999,单价109660元/平米,东城,"116.399108,39.876842"
203,史家小学南北通透带电梯，高楼层没遮挡 距地铁412米,豆瓣胡同 , 2室1厅 , 83.2平米 ,114人关注 , 共190次带看 , 3个月以前发布,1100,单价132212元/平米,东城,"116.437847,39.933684"
204,东城小三居，满五年，明厨明卫，无遮挡，不临街,富莱茵花园 , 3室1厅 , 86.5平米 ,253人关注 , 共87次带看 , 3个月以前发布,580,单价67053元/平米,东城,"116.414452,39.866869"
205,东单协和医院 国家旅游局央产房 南北通透三居室,贡院西街 , 3室1厅 , 78.59平米 ,194人关注 , 共134次带看 , 4个月以前发布,778,单价98995元/平米,东城,"116.437148,39.916982"
206,和平里一小南北两居价位可谈有钥匙随时看房,和平里五区 , 2室1厅 , 55.11平米 ,359人关注 , 共281次带看 , 5个月以前发布,580,单价105245元/平米,东城,"116.426912,39.960779"
207,金世纪嘉园 东南两居 高楼层 视野好,金世纪嘉园 , 2室1厅 , 75.74平米 ,392人关注 , 共169次带看 , 6个月以前发布,610,单价80539元/平米,东城,"116.4515,39.904606"
208,东厂胡同 1室1厅 465万,东厂胡同 , 1室1厅 , 40.4平米 ,87人关注 , 共81次带看 , 1个月以前发布,465,单价115100元/平米,东城,"116.415839,39.929045"
209,分司厅双南向二居阳光房，采光好，临地铁,车辇店胡同 , 2室1厅 , 71平米 ,109人关注 , 共70次带看 , 1个月以前发布,790,单价111268元/平米,东城,"116.410619,39.95174"
210,贡院西街  南向一居  明厨明卫  带阳台,贡院西街 , 1室1厅 , 44.51平米 ,105人关注 , 共92次带看 , 2个月以前发布,480,单价107841元/平米,东城,"116.437148,39.916982"
211,东城二环里左安漪园东西通透大两居,左安漪园 , 2室1厅 , 118.62平米 ,38人关注 , 共46次带看 , 1个月以前发布,1070,单价90205元/平米,东城,"116.4471,39.879796"
212,西南双阳台 一居   可改两居   满五 ,天利园 , 1室1厅 , 66.24平米 ,36人关注 , 共13次带看 , 3个月以前发布,658,单价99336元/平米,东城,"116.443031,39.898481"
213,南二环天坛南门安乐林路商品房两居,景泰嘉园 , 2室1厅 , 108.75平米 ,89人关注 , 共11次带看 , 4个月以前发布,750,单价68966元/平米,东城,"116.419009,39.87095"
214,左安溪园 3室2厅 1500万,左安溪园 , 3室2厅 , 147.53平米 ,87人关注 , 共27次带看 , 3个月以前发布,1500,单价101675元/平米,东城,"116.444673,39.881316"
215,东城区 富莱茵花园 朝南一居室 不临街,富莱茵花园 , 1室1厅 , 49.28平米 ,282人关注 , 共22次带看 , 1个月以前发布,330,单价66965元/平米,东城,"116.414452,39.866869"
216,南北通透两居 前后不临街 中间楼层采光好,东花市北里中区 , 2室2厅 , 103.41平米 ,8人关注 , 共0次带看 , 1个月以前发布,1200,单价116043元/平米,东城,"116.439746,39.905443"
217,和平里七区 3室1厅 830万,和平里七区 , 3室1厅 , 77.72平米 ,54人关注 , 共29次带看 , 23天以前发布,830,单价106794元/平米,东城,"116.427853,39.966824"
218,官书院南北向 下叠复式六居室 低楼层带小院,官书院 , 6室2厅 , 231.24平米 ,197人关注 , 共71次带看 , 3个月以前发布,1850,单价80004元/平米,东城,"116.416828,39.952781"
219,砖角楼北里双南向两居 满五年公房 诚心出售,砖角楼北里 , 2室1厅 , 52.64平米 ,192人关注 , 共12次带看 , 3个月以前发布,420,单价79788元/平米,东城,"116.43581,39.962757"
